City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
465,cayenne,4.9333,-52.3333,28.02,74,75,8.75,GF,1675437792
466,nabire,-3.3667,135.4833,23.84,94,100,2.33,ID,1675437792
467,chiredzi,-21.05,31.6667,32.02,37,100,5.19,ZW,1675437793
468,perelyub,51.8667,50.3667,-6.94,92,100,3.04,RU,1675437795
469,itarema,-2.9248,-39.9167,30.25,60,100,6.95,BR,1675437795
470,tonder,54.9331,8.8667,7.02,83,100,3.13,DK,1675437796
471,padang,-0.9492,100.3543,25.03,85,26,1.21,ID,1675437797
472,leningradskiy,69.3833,178.4167,-32.51,100,100,1.21,RU,1675437797
473,kargasok,59.0556,80.8572,-12.85,98,100,0.91,RU,1675437798
474,iqaluit,63.7506,-68.5145,-35.73,59,75,8.05,CA,1675437538
475,dorogino,54.3598,83.3198,-16.98,96,86,1.88,RU,1675437799
476,ayagoz,47.9714,80.4392,-2.63,97,100,5.5,KZ,1675437799
477,cherskiy,68.75,161.3,-26.6,100,100,1.03,RU,1675437800
478,caravelas,-17.7125,-39.2481,31.33,48,10,4.51,BR,1675437582
479,valdivia,-39.8142,-73.2459,23.05,37,0,3.44,CL,1675437518
480,qasigiannguit,68.8193,-51.1922,-11.86,100,100,1.33,GL,1675437801
481,cernosice,49.9601,14.3198,7.4,90,100,11.83,CZ,1675437802
482,makat,47.6469,53.3463,0.35,61,100,5.69,KZ,1675437802
483,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,67,75,2.0,RU,1675437803
484,paka,4.6374,103.4368,25.96,94,99,1.54,MY,1675437804
485,marfino,55.7028,37.3822,0.65,92,75,3.0,RU,1675437804
486,buala,-8.145,159.5921,26.72,82,100,1.35,SB,1675437805
487,pierre,44.3683,-100.351,-15.96,85,0,8.49,US,1675437751
488,yenagoa,4.9247,6.2642,36.43,33,67,2.13,NG,1675437806
489,neryungri,56.6709,124.6491,-24.97,97,98,1.65,RU,1675437807
490,gabu,12.2833,-14.2167,39.49,9,9,1.9,GW,1675437807
491,urumqi,43.801,87.6005,-9.47,79,100,1.0,CN,1675437808
492,cockburn town,21.4612,-71.1419,25.36,73,96,7.35,TC,1675437808
493,vestmannaeyjar,63.4427,-20.2734,6.55,93,100,15.43,IS,1675437809
494,cap malheureux,-19.9842,57.6142,26.93,79,11,0.89,MU,1675437810
495,kilindoni,-7.9139,39.6668,28.66,72,34,3.9,TZ,1675437810
496,tessalit,20.1986,1.0114,22.5,9,37,7.17,ML,1675437811
497,gediz,39.0417,29.41,1.23,98,100,2.72,TR,1675437812
498,bundaberg,-24.85,152.35,26.79,99,55,0.89,AU,1675437812
499,altenholz,54.4,10.1333,7.26,77,85,12.31,DE,1675437813
500,mchinji,-13.7984,32.8802,20.52,93,100,1.26,MW,1675437813
501,akdepe,42.0551,59.3788,5.27,57,100,2.49,TM,1675437814
502,san patricio,28.017,-97.5169,7.17,76,0,5.58,US,1675437814
